URL,Product Name,ASIN,Variant
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Fullsize Keyboard + Mouse, Color: Silver (ASIN: B0D3WR66NH)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Fullsize Keyboard + Mouse, Color: White-Multicolor (ASIN: B0DP34KYDW)"
https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0DLW44CGS,"Size: 4GB+64GB, Color: Sparkle Purple (ASIN: B0DLW427YG)"
https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0DLW44CGS,"Size: 4GB+64GB, Color: Starry Black (ASIN: B0DLW1L5PR)"
https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0DLW44CGS,"Size: 4GB+128GB, Color: Sparkle Purple (ASIN: B0DLW44CGS)"
https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0DLW44CGS,"Size: 4GB+128GB, Color: Starry Black (ASIN: B0DLW4QD72)"
https://www.amazon.in/gp/aw/d/B0DGHYPFYB/,"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium : Amazon.in: Electronics",B0DGHYPFYB,No variants found
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 256GB, Color: Titanium Violet (ASIN: B0CT4VRGXV)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 256GB, Color: Titanium Yellow (ASIN: B0CS6FDBMW)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 256GB, Color: black (ASIN: B0CT5BJC16)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 256GB, Color: grey (ASIN: B0CT5BKF4C)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 256GB, Color: violet (ASIN: B0CT526HJB)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 512GB, Color: Titanium Violet (ASIN: B0CT4VRGXV)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 512GB, Color: Titanium Yellow (ASIN: B0CS6FDBMW)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 512GB, Color: black (ASIN: B0CT5BJC16)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 512GB, Color: grey (ASIN: B0CT59XVRD)"
https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS6FDBMW/,"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Yellow, 12GB, 256GB Storage)",B0CS6FDBMW,"Size: 12GB + 512GB, Color: violet (ASIN: B0CT526HJB)"
https://www.amazon.in/POCO-Mirror-Black-RAM-Storage/dp/B0CT3SB6F5/,"POCO X6 5G (Snowstorm White, 8 GB RAM 256 GB Storage)",B0CT3SB6F5,Size: 8GB RAM + 256GB Storage (ASIN: B0CSDS6VGW)
https://www.amazon.in/POCO-Mirror-Black-RAM-Storage/dp/B0CT3SB6F5/,"POCO X6 5G (Snowstorm White, 8 GB RAM 256 GB Storage)",B0CT3SB6F5,Size: 12GB RAM + 512GB Storage (ASIN: B0CSSD9QJR)
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 6GB+128GB, Color: Mystique White (ASIN: B0DPFSH2X3)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 6GB+128GB, Color: Phantom Purple (ASIN: B0DPFSCQJP)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 6GB+128GB, Color: Titan Black (ASIN: B0DPFTYQN7)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+128GB, Color: Mystique White (ASIN: B0DPFV3T4V)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+128GB, Color: Phantom Purple (ASIN: B0DPFRLMML)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+128GB, Color: Titan Black (ASIN: B0DPFTHDBX)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+256GB, Color: Mystique White (ASIN: B0DPFSJV2Z)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+256GB, Color: Phantom Purple (ASIN: B0DPFST37Y)"
https://www.amazon.in/Redmi-Storage-Dimensity-Segment-Brightest/dp/B0DPFTYQN7/,"Redmi Note 14 5G (Titan Black, 6GB RAM 128GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera : Amazon.in",B0DPFTYQN7,"Size: 8GB+256GB, Color: Titan Black (ASIN: B0DPFVDFT3)"
https://www.amazon.in/Tecno-Phantom-Rippling-Strongest-Segment-5750mAh/dp/B0DMFMGP26/,"Tecno Phantom V Fold 2 (Rippling Blue, 12GB+512GB) | Strongest Fold Ever | Largest Battery in Fold Segment-5750mAh | Segment Largest Display | Rear - Triple 50MP Camera with OIS | 70W Fast Charger : Amazon.in: Electronics",B0DMFMGP26,Color: Karst Green + 12 GB RAM and 512 GB ROM (ASIN: B0DMFKJ99G)
https://www.amazon.in/Tecno-Phantom-Rippling-Strongest-Segment-5750mAh/dp/B0DMFMGP26/,"Tecno Phantom V Fold 2 (Rippling Blue, 12GB+512GB) | Strongest Fold Ever | Largest Battery in Fold Segment-5750mAh | Segment Largest Display | Rear - Triple 50MP Camera with OIS | 70W Fast Charger : Amazon.in: Electronics",B0DMFMGP26,Color: Rippling Blue + 12 GB RAM and 512 GB ROM (ASIN: B0DMFMGP26)
https://www.amazon.in/Fire-Boltt-Calling-Display-Nano-SIM-Battery/dp/B0CXXDG3LS/,"Fire-Boltt 4G Pro Volte Calling Smart Watch- 2.02” TFT Display, 4G Nano-SIM GPS, Health Suite, Sports Modes, 400mAh Battery (Black)",B0CXXDG3LS,Color: Black (ASIN: B0CXXDG3LS)
https://www.amazon.in/Fire-Boltt-Calling-Display-Nano-SIM-Battery/dp/B0CXXDG3LS/,"Fire-Boltt 4G Pro Volte Calling Smart Watch- 2.02” TFT Display, 4G Nano-SIM GPS, Health Suite, Sports Modes, 400mAh Battery (Black)",B0CXXDG3LS,Color: Blue (ASIN: B0CXXGVNPB)
https://www.amazon.in/Fire-Boltt-Calling-Display-Nano-SIM-Battery/dp/B0CXXDG3LS/,"Fire-Boltt 4G Pro Volte Calling Smart Watch- 2.02” TFT Display, 4G Nano-SIM GPS, Health Suite, Sports Modes, 400mAh Battery (Black)",B0CXXDG3LS,Color: Gray (ASIN: B0CXXDW4XG)
